rec,UWA Arrest ID,Arresting officer,Date,Station,Outpost name,Location name,Detection,Crime type,Offence Loc.
17,MFCA-MFNP-49-2014-05-22-,Cpl Ocama John,14/05-2014,MFCA-MFNP,Pakuba,Jobi East 1,Routine patrol by rangers,Illegal entry,MFCA-MFNP
19,MFCA-MFNP-50-2014-06-02-,Oloya Alfred,23/05-2014,MFCA-MFNP,Praa H/q,Ngege 2,Routine patrol by rangers,Illegal entry,MFCA-MFNP
21,MFCA-MFNP-50-2014-06-02-,,30/05-2014,MFCA-MFNP,,Got Apwoyo,Routine patrol by rangers,Illegal entry,MFCA-MFNP
22,MFCA-MFNP-50-2014-06-02-,Fred Jakweyo,15/05-2014,MFCA-MFNP,Paraa H/q,Delta,Routine patrol by rangers,Illegal entry,MFCA-MFNP
24,MFCA-MFNP-50-2014-06-02-,Oloya Alfred,04/06-2014,MFCA-MFNP,Paraa H/q,Ngege 2,Routine patrol by rangers,Illegal entry,MFCA-MFNP
25,MFCA-MFNP-50-2014-06-05-,Julius Obwona,30/05-2014,MFCA-MFNP,Parra H/q,Lolim Village,House visit based on intelligence,Possesion of firearms,MFCA-MFNP
26,MFCA-MFNP-50-2014-06-05-,Julius Obwona,30/05-2014,MFCA-MFNP,Parra H/q,Lolim Village,House visit based on intelligence,Possesion of firearms,MFCA-MFNP
27,MFCA-MFNP-50-2014-06-05-,Fred Jakweyo,14/05-2014,MFCA-MFNP,Paraa H/q,Delta Point,Routine patrol by rangers,Illegal entry,MFCA-MFNP
29,KCA-TSWR-3-2014-06-08-2,"Ngabirano David, Busobozi, Septembrer",08/06-2014,,,,,,
30,KCA-TSWR-3-2014-06-08-3,"Ngabirano David, Busobozi, Septembrer",08/06-2014,KCA-TSWR,Karugutu,Kanyasi,House visit based on intelligence,Illegal possesion,KCA-TSWR
32,MFCA-MFNP-50-2014-06-12-,Guma Silvio,08/06-2014,MFCA-MFNP,Latoro,Pajengo,Ambush patrol based on intelligence,Illegal entry,MFCA-MFNP
33,MFCA-MFNP-50-2014-06-12-,Guma Silvio,08/06-2014,MFCA-MFNP,Latoro,Pajengo Village,Routine security check,Accessory to crime,MFCA-MFNP
34,MFCA-MFNP-50-2014-06-12-,Obuoja Moses,24/05-2014,MFCA-MFNP,Simanya,Yago Kwach,Routine patrol by rangers,Illegal entry,MFCA-MFNP
35,MFCA-MFNP-50-2014-06-12-,Obuoja Moses,24/05-2014,MFCA-MFNP,Simanya,Yago Kwach,,Illegal entry,
36,MFCA-MFNP-50-2014-06-17-,Fred Jakweyo,15/06-2014,MFCA-MFNP,Paraa H/q,Paraa Ferry Landing,Routine patrol by rangers,Illegal entry,MFCA-MFNP
37,MFCA-MFNP-50-2014-06-17-,Fred Jakweyo,15/06-2014,MFCA-MFNP,Paraa H/q,Paraa Ferry Landing,Routine patrol by rangers,Illegal entry,MFCA-MFNP
45,MFCA-MFNP-49-2014-06-20-,Obouja Moses,17/06-2014,MFCA-MFNP,Simanya,Yago Kwach,Routine patrol by rangers,Illegal entry,MFCA-MFNP
46,KCA-KNP-10-2014-06-23-1,Cpl. Edema Joseph,22/06-2014,KCA-KNP,Isunga,Kiziba - Kinyarwanda,Routine patrol by rangers,Illegal harvesting,KCA-KNP
47,KCA-KNP-10-2014-06-24-1,Cpl. Amanyire Wilson,20/06-2014,KCA-KNP,Isunga,Kikazi Trading Centre,House visit based on intelligence,Illegal possesion,KCA-KNP
48,KCA-KNP-10-2014-06-24-2,Cpl. Amanyire Wilson,21/06-2014,KCA-KNP,Isunga,Kikazi  Trading Centre,House visit based on intelligence,Illegal possesion,KCA-KNP
50,KCA-KNP-10-2014-06-24-4,Cpl. Amanyire Wilson,20/06-2014,KCA-KNP,Isunga,River Dura,Ambush patrol based on intelligence,Illegal entry,KCA-KNP
51,KCA-KNP-10-2014-06-24-5,Cpl. Amanyire Wilson,20/06-2014,KCA-KNP,Isunga,River Dura,Ambush patrol based on intelligence,Illegal entry,KCA-KNP
53,KCA-SNP-5-2014-06-25-1,Makambo Abdallah,12/06-2014,KCA-SNP,Ntandi Hqs,Mambilo Snp,Routine patrol by rangers,Hunting for meat,KCA-SNP
56,KCA-SNP-5-2014-06-25-4,Makambo Abdallah,14/06-2014,KCA-SNP,Ntandi Hqs,Bundikiteganwa Ii,House visit based on intelligence,Illegal possesion,KCA-SNP
59,KCA-SNP-5-2014-06-25-7,Makambo Abdallah,14/06-2014,KCA-SNP,Ntandi Hqs,Mambilo,House visit based on intelligence,Illegal possesion,KCA-SNP
62,KCA-SNP-5-2014-06-25-10,Makambo Abdallah,14/06-2014,KCA-SNP,Ntandi Hqs,Bundikiteganwa Ii,House visit based on intelligence,Illegal possesion,KCA-SNP
64,KCA-SNP-5-2014-06-25-12,Makambo Abdallah,12/06-2014,KCA-SNP,Ntandi Hqs,Mambilo,Routine patrol by rangers,Hunting for meat,KCA-SNP
68,MFCA-MFNP-50-2014-06-30-,Tukei Tobias,22/06-2014,MFCA-MFNP,Paraa H/q,Simba,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
69,MFCA-MFNP-50-2014-07-01-,Tukei Tobias,22/06-2014,MFCA-MFNP,Paraa H/q,Simba,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
70,MFCA-MFNP-50-2014-07-01-,Fred Jakweyo,15/06-2014,MFCA-MFNP,Paraa H/q,Paraa Ferry Landing,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
72,MFCA-MFNP-50-2014-07-03-,Okot Richard,26/06-2014,MFCA-MFNP,Wangkwar Sector H/q,Nyacha,Routine patrol by rangers,Hunting for meat,MFCA-MFNP
73,MFCA-MFNP-50-2014-07-03-,Cpl Nyeko Phillips,01/07-2014,MFCA-MFNP,Paraa H/q,Kibaa River,Routine patrol by rangers,Illegal entry,MFCA-MFNP
75,MFCA-MFNP-50-2014-07-04-,Lakony Simon Peter,01/07-2014,MFCA-MFNP,Delta,Delta,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
79,MFCA-MFNP-50-2014-07-07-,Godfrey Acema,10/06-2014,MFCA-MFNP,Kichumbanyobo Gate,Kichumbanyobo,Routine patrol by rangers,Hunting for meat,MFCA-MFNP
80,MFCA-MFNP-50-2014-07-07-,Mohammed Sulaiman,06/07-2014,MFCA-BWR,Waisoke,Soke River,Observed during non-duty activities,Illegal grazing,MFCA-BWR
81,KCA-KNP-10-2014-07-09-1,Capt. John Alobe,04/07-2014,KCA-KNP,Isunga,Bihehe,Other,Illegal entry,KCA-KNP
82,KCA-KNP-10-2014-07-09-2,Cpl. Amanyire Wilson,07/07-2014,KCA-KNP,Isunga,Bihehe,Other,Accessory to crime,KCA-KNP
83,KCA-KNP-10-2014-07-09-3,Cpl. Amanyire Wilson,01/06-2014,KCA-KNP,Isunga,"Mukunyu Trading Centre, Kyenjojo",House visit based on intelligence,Illegal possesion,KCA-KNP
84,MFCA-MFNP-50-2014-07-11-,Adiyochan Francis,08/07-2014,MFCA-MFNP,Paraa H/q,Nyacha River,Routine patrol by rangers,Illegal entry,MFCA-MFNP
85,MFCA-MFNP-50-2014-07-16-,Uhuru Jimmy,11/07-2014,MFCA-MFNP,Paraa H/q,Latoro,Other,Illegal entry,MFCA-MFNP
86,MFCA-MFNP-50-2014-07-16-,Obuoja Moses,13/07-2014,MFCA-MFNP,Simanya,Tera Chwi,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
87,KCA-KNP-10-2014-07-16-1,Cpl. Amanyire Wilson,16/07-2014,KCA-KNP,Isunga,Kahondo,House visit based on intelligence,Hunting for meat,KCA-KNP
88,MFCA-MFNP-50-2014-07-16-,Obuoja Moses,13/07-2014,MFCA-MFNP,,Kulu Ganda,Routine patrol by rangers,Illegal fishing,
92,KCA-KNP-10-2014-07-16-5,Pte. Kushemererwa Ronald,25/04-2014,KCA-KNP,Kabaleke,Bigando,House visit based on intelligence,Illegal possesion,KCA-KNP
93,MFCA-MFNP-50-2014-07-16-,Obuoja Moses,13/07-2014,MFCA-MFNP,Paraa H/q,Paraa H/q,Routine patrol by rangers,Illegal fishing,
97,MFCA-MFNP-49-2014-07-29-,Fred Jakweyo,15/07-2014,MFCA-MFNP,Paraa Hq,Kabada,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
101,HQ-53-2014-07-30-2,Maj. John Joab Kwikiriza,11/06-2014,HQ,Hq,Kabusu,House visit based on intelligence,Illegal possesion,HQ
103,MFCA-MFNP-49-2014-07-30-,Obuoja Moses,21/07-2014,MFCA-MFNP,Simanya,Simanya,Routine patrol by rangers,Illegal entry,MFCA-MFNP
104,MFCA-MFNP-49-2014-07-30-,Obuoja Moses,21/07-2014,MFCA-MFNP,Simanya,Simanya,Routine patrol by rangers,Illegal entry,
105,MFCA-MFNP-49-2014-08-11-,Fred Jakweyo,16/07-2014,MFCA-MFNP,Paraa Hq,Kasenyi,Routine patrol by rangers,Illegal entry,MFCA-MFNP
106,MFCA-MFNP-49-2014-08-12-,Obuoja Moses,21/07-2014,MFCA-MFNP,Simanya,,,,
108,MFCA-MFNP-50-2014-08-18-,Komakech Albert,16/06-2014,MFCA-MFNP,Kololo,Latigo Farm,Ambush patrol based on intelligence,Illegal possesion,MFCA-MFNP
109,QECA-QENP-19-2014-08-22-,"Ngene Reuben, Asedri, Irene",21/07-2014,QECA-QENP,Katunguru Headquators,Kahendero,Routine patrol by rangers,Illegal grazing,QECA
111,KVCA-KVNP-44-2014-08-29-,2 Lt. Eric Albert Wamboka,24/08-2014,KVCA-KVNP,Lopedo,East Of Kaabong Town,Routine security check,Hunting for meat,KVCA-KVNP
112,MFCA-MFNP-50-2014-09-01-,Pte Odwokacen Simon,30/08-2014,MFCA-BWR,Waisoke,Waiga,Routine patrol by rangers,Illegal possesion,MFCA-BWR
113,MFCA-MFNP-50-2014-09-01-,Ariko David,11/08-2014,MFCA-MFNP,,Ayago,Routine patrol by rangers,Illegal entry,MFCA-MFNP
114,MFCA-MFNP-50-2014-09-01-,Major Lino Dramundu,10/08-2014,MFCA-MFNP,Paraa H/q,Tangi Farm,Ambush patrol based on intelligence,Illegal possesion,MFCA-MFNP
116,MFCA-MFNP-50-2014-09-02-,Julius Obwana,21/08-2014,MFCA-MFNP,Paraa H/q,Latoro,Ambush patrol based on intelligence,Ivory poaching,MFCA-MFNP
117,MFCA-MFNP-50-2014-09-04-,Sgt Birimuye Moses,27/08-2014,MFCA-MFNP,Paraa H/q,Teebito-top Of Falls,Routine patrol by rangers,Hunting for meat,MFCA-MFNP
118,QECA-QENP-19-2014-09-05-,Akii Moses,23/08-2014,QECA-QENP,Nyamugasani,Muruti,Routine patrol by rangers,Illegal grazing,QECA-QENP
119,QECA-QENP-19-2014-09-05-,Basusu Solomon,25/08-2013,QECA-QENP,Mweya,Kazinga Channel,Routine patrol by rangers,Illegal fishing,QECA-QENP
121,QECA-QENP-19-2014-09-05-,Akii Milton,26/08-2014,QECA-QENP,Nyamugasani,Pelican Point,Routine patrol by rangers,Illegal grazing,QECA-QENP
123,QECA-QENP-19-2014-09-05-,Akii Milton,26/08-2013,QECA-QENP,Nyamugasani,Pelican Point,Routine patrol by rangers,Illegal grazing,QECA-QENP
126,QECA-QENP-19-2014-09-05-,"Kato,kibonge",26/08-2014,QECA-QENP,Katunguru Headquators,Kagarama,Routine patrol by rangers,Illegal entry,QECA-QENP
127,MFCA-MFNP-50-2014-09-09-,Obuoja Moses,09/08-2014,MFCA-MFNP,Simanya,Delta,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
128,MFCA-MFNP-50-2014-09-09-,Obuoja Moses,12/08-2014,MFCA-MFNP,,Delta,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
130,QECA-QENP-19-2014-09-10-,"Kato,kibonge",26/08-2013,QECA-QENP,Katunguru,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
132,QECA-QENP-17-2014-09-10-,Kibonge/ Kato Robnison,06/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
135,QECA-QENP-17-2014-09-11-,Kibonge/ Kato Robnison,26/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
136,QECA-QENP-17-2014-09-11-,Kibonge/ Kato Robnison,26/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
137,QECA-QENP-17-2014-09-11-,Kibonge/ Kato Robnison,26/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
138,QECA-QENP-17-2014-09-11-,Kibonge/ Kato Robnison,26/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
139,QECA-QENP-17-2014-09-11-,Kibonge/ Kato Robnison,26/08-2014,QECA-QENP,Katunguru Head Quarters,Katabagwe,Routine patrol by rangers,Illegal entry,QECA-QENP
140,QECA-QENP-17-2014-09-11-,Olelo Alfred/ Kayaya Ronard,06/09-2014,QECA-QENP,Kabirizi,Crators,Routine patrol by rangers,Illegal grazing,QECA-QENP
141,QECA-QENP-17-2014-09-11-,Olelo Alfred/ Kayaya Ronard,06/09-2014,QECA-QENP,,,,,
142,MFCA-MFNP-50-2014-09-12-,Obuoja Moses,28/08-2014,MFCA-MFNP,Simanya,Kanyamarogo,Routine patrol by rangers,Illegal fishing,MFCA-MFNP
145,QECA-QENP-19-2014-09-12-,Offiti And Fana,08/09-2014,QECA-QENP,Nyamugasani,Rwehingo,Routine patrol by rangers,Illegal grazing,QECA-QENP
146,QECA-QENP-19-2014-09-12-,Kasighalire,09/09-2014,QECA-QENP,Kyanzaza,Kafuro,Routine patrol by rangers,Illegal harvesting,QECA-QENP
147,QECA-QENP-19-2014-09-12-,Olero And Kayaya,06/09-2014,QECA-QENP,Kabirizi,Crators,Routine patrol by rangers,Hunting for meat,QECA-QENP
148,MFCA-MFNP-50-2014-09-12-,Uhuru Jimmy,06/09-2014,MFCA-MFNP,,Pacabu,Routine patrol by rangers,Illegal entry,MFCA-MFNP
149,QECA-QENP-19-2014-09-12-,"Mugisha,tumye",03/09-2014,QECA-QENP,Katojo,Kayanja,Routine patrol by rangers,Illegal entry,QECA-QENP
150,QECA-QENP-19-2014-09-12-,"Mugisha,tumye",03/09-2014,QECA-QENP,Katojo,Kayanja,Routine patrol by rangers,Illegal entry,QECA-QENP
151,QECA-QENP-19-2014-09-12-,"Mugisha,tumye",03/09-2014,QECA-QENP,Katojo,Kayanja,Routine patrol by rangers,Illegal entry,QECA-QENP
153,QECA-QENP-17-2014-09-15-,Kibonge Alex / Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Head Quarters,Rwenshama Bleeding Zone Rwempunu,Routine patrol by rangers,Illegal fishing,QECA-QENP
155,QECA-QENP-17-2014-09-15-,Kibonge Alex / Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Head Quarters,Rwenshama Bleeding Zone Rwempunu,Routine patrol by rangers,Illegal fishing,QECA-QENP
156,QECA-QENP-17-2014-09-15-,Kibonge Alex / Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Head Quarters,Rwenshama Bleeding Zone Rwempunu,Routine patrol by rangers,Illegal fishing,QECA-QENP
157,QECA-QENP-17-2014-09-15-,Kibonge Alex/ Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Headquators,"Rwenshama Bleeding Zone, Rwempunu",Routine patrol by rangers,Illegal fishing,QECA-QENP
158,QECA-QENP-17-2014-09-15-,Kibonge Alex/ Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Headquators,"Rwenshama Bleeding Zone, Rwempunu",Routine patrol by rangers,Illegal fishing,QECA-QENP
159,QECA-QENP-17-2014-09-16-,Kibonge Alex/ Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Headquators,"Rwenshama Bleeding Zone, Rwempunu",Routine patrol by rangers,Illegal fishing,QECA-QENP
162,QECA-QENP-17-2014-09-16-,Kibonge Alex/ Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Headquators,"Rwenshama Bleeding Zone, Rwempunu",Routine patrol by rangers,Illegal fishing,QECA-QENP
164,QECA-QENP-19-2014-09-16-,Offiti And Fana,13/09-2014,QECA-QENP,Nyamugasani,Bwanika,Routine patrol by rangers,Hunting for meat,QECA-QENP
165,QECA-QENP-19-2014-09-16-,"Kato, Godfrey",13/09-2014,QECA-QENP,Katunguru Headquators,Kidodo,Routine patrol by rangers,Illegal harvesting,QECA-QENP
166,QECA-QENP-17-2014-09-16-,Twinobusingye Godfrey,13/09-2014,QECA-QENP,Katunguru Headquators,,,,
168,QECA-QENP-17-2014-09-16-,Twinobusingye Godfrey,13/09-2014,QECA-QENP,Katunguru Headquators,Kidodo,Routine patrol by rangers,Illegal harvesting,QECA-QENP
169,QECA-QENP-17-2014-09-17-,Kibonge Alex / Ali Bin Saidi,08/07-2014,QECA-QENP,Katunguru Head Quarters,Rwenshama Bleeding Zone Rwempunu,Routine patrol by rangers,Illegal fishing,QECA-QENP
170,QECA-QENP-17-2014-09-17-,Olama Nelson,12/09-2014,QECA-QENP,Rukoma,Nyamirima Village,Observed during non-duty activities,Illegal possesion,QECA-QENP
171,QECA-QENP-17-2014-09-17-,Kobwemi Willington/ Muhindo Franco,15/08-2014,QECA-QENP,Kararo,Tuguhonoka Areas,Routine patrol by rangers,Illegal harvesting,QECA-QENP
172,QECA-QENP-17-2014-09-17-,Kobwemi Willington/ Muhindo Franco,15/08-2014,QECA-QENP,Kararo,Tuguhonoka Areas,Routine patrol by rangers,Illegal harvesting,QECA-QENP
173,QECA-QENP-17-2014-09-17-,Kobwemi Willington/ Muhindo Franco,15/08-2014,QECA-QENP,Kararo,Tuguhonoka Areas,Routine patrol by rangers,Illegal harvesting,QECA-QENP
174,QECA-QENP-17-2014-09-18-,Olelo Alfred,25/08-2014,QECA-QENP,Kabirizi,Kempara,Routine patrol by rangers,Illegal grazing,QECA-QENP
175,QECA-QENP-17-2014-09-18-,Olelo Alfred/ Mpirwe Stiphen,24/05-2014,QECA-QENP,Katunguru Headquators,Kempara,Routine patrol by rangers,Illegal grazing,QECA-QENP
176,QECA-QENP-17-2014-09-18-,Olelo Alfred/ Mpirwe Stiphen,24/05-2014,QECA-QENP,Katunguru Headquators,Kempara,Routine patrol by rangers,Illegal grazing,QECA-QENP
178,MFCA-MFNP-50-2014-09-21-,Odong Sam,16/09-2014,MFCA-MFNP,Masindi,Kyampisi Ranch,,,
180,QECA-QENP-17-2014-09-22-,Kayaya Ronard/ Olelo Alfred,21/08-2014,QECA-QENP,Kabirizi,Kabiriza Areas,Routine patrol by rangers,Illegal grazing,QECA-QENP
184,QECA-QENP-19-2014-09-23-,Kibonge/kayondo,16/09-2014,QECA-QENP,Katunguru Head Quarters,Kazinga,Routine patrol by rangers,Illegal harvesting,QECA-QENP
185,QECA-QENP-19-2014-09-23-,Kibonge/kayondo,16/09-2014,QECA-QENP,Katunguru Head Quarters,Kazinga,Routine patrol by rangers,Illegal harvesting,QECA-QENP
186,QECA-QENP-19-2014-09-23-,Kibonge/kayondo,16/09-2014,QECA-QENP,Katunguru Head Quarters,Kazinga,Routine patrol by rangers,Illegal harvesting,QECA-QENP
187,QECA-QENP-19-2014-09-23-,Ngene/tushabe,11/09-2014,QECA-QENP,Nyamusingiri,Nyamusingiri,Routine patrol by rangers,Illegal fishing,QECA-QENP
188,QECA-QENP-19-2014-09-25-,Fana/offiti,08/09-2014,QECA-QENP,Nyamugasani,Rwehingo,Routine patrol by rangers,Illegal grazing,QECA-QENP
189,QECA-QENP-19-2014-09-25-,Olero/kayaya,26/08-2014,,,,,,
190,QECA-QENP-19-2014-09-25-,Olero/kayaya,26/08-2014,QECA-QENP,Kabirizi,Nyaruzigati,Routine patrol by rangers,Illegal harvesting,QECA-QENP
192,QECA-QENP-19-2014-09-25-,Obero/basimaki,03/08-2014,QECA-QENP,Hankungu,Karuzika,Routine patrol by rangers,Illegal grazing,QECA-QENP
193,QECA-QENP-19-2014-09-25-,Kibonge/kasim,06/08-2014,QECA-QENP,Katunguru Headquators,Kisenyi,Routine patrol by rangers,Illegal entry,QECA-QENP
197,QECA-QENP-17-2014-09-29-,Anyama Robert/ Mugisha Anthony,25/09-2014,QECA-QENP,Katojo,Kayanja,Routine patrol by rangers,Illegal possesion,QECA-QENP
198,MFCA-MFNP-50-2014-09-30-,Odongo Sam,16/09-2014,MFCA-MFNP,Masindi Office,Kyampisi Ranch,Routine security check,Hunting for meat,MFCA-MFNP
199,MFCA-MFNP-50-2014-09-30-,Lawoko Francis,25/09-2014,MFCA-MFNP,Bugungu Gate,Bugungu Gate Area,Routine patrol by rangers,Illegal entry,MFCA-MFNP
200,MFCA-MFNP-50-2014-09-30-,Lawoko Francis,25/09-2014,MFCA-MFNP,Bugungu Gate,Bugungu Gate Area,Routine patrol by rangers,Illegal entry,MFCA-MFNP
201,QECA-QENP-17-2014-09-30-,Muhindo Franco,16/09-2014,QECA-QENP,Kabatoro Gate,Katako,Routine patrol by rangers,Illegal possesion,QECA-QENP
202,QECA-QENP-17-2014-09-30-,Muhindo Franco,16/09-2014,QECA-QENP,Kabatoro Gate,Katako,Routine patrol by rangers,Illegal fishing,QECA-QENP
203,QECA-QENP-17-2014-10-01-,Muhindo Franco,16/09-2014,QECA-QENP,Kabatoro Gate,Katako,Routine patrol by rangers,Illegal fishing,QECA-QENP
204,QECA-QENP-17-2014-10-01-,Kibonge Alex/ Agaba Asons,14/07-2014,QECA-QENP,Katunguru Headquators,Nyamweru,Routine patrol by rangers,Illegal entry,QECA-QENP
206,QECA-QENP-17-2014-10-02-,Katurebe Wilson,31/07-2013,QECA-QENP,Katunguru Head Quarters,A Long River Kyambura,Routine patrol by rangers,Illegal entry,QECA-QENP
207,QECA-QENP-17-2014-10-02-,"Mpirwe Stephen, Tumwine Albert",07/08-2014,QECA-QENP,Kiyanga,Ruzonga,Routine patrol by rangers,Illegal entry,QECA-QENP
208,MFCA-MFNP-50-2014-10-02-,Jakweyo Fred,25/10-2014,MFCA-MFNP,Mubako Hq,,,,
209,MFCA-MFNP-50-2014-10-02-,Jakweyo Fred,25/09-2014,MFCA-MFNP,Mubako Hq,Kabada,Routine patrol by rangers,Illegal entry,MFCA-MFNP
210,MFCA-MFNP-50-2014-10-02-,Ojuvule Gift,11/09-2014,MFCA-MFNP,Latoro,Lugaya,Routine patrol by rangers,Hunting for meat,MFCA-MFNP
212,QECA-QENP-17-2014-10-02-,"Kibonge Alex, Offit Robert",13/08-2014,QECA-QENP,Katunguru Head Quarters,Nyamweru River,Routine patrol by rangers,Illegal fishing,QECA-QENP
213,MFCA-MFNP-50-2014-10-02-,Ojuvule Gift,11/09-2014,MFCA-MFNP,Latoro,Lugaya,Routine patrol by rangers,Hunting for meat,MFCA-MFNP
214,QECA-QENP-17-2014-10-02-,"Birungi Paul, Asiimwe Zefrino",21/07-2014,QECA-QENP,Kyanzaza,Nyakahita,Routine patrol by rangers,Illegal possesion,QECA-QENP
216,MFCA-MFNP-50-2014-10-10-,Ginyanya Sam,03/10-2014,MFCA-MFNP,Bugungu Reserve Hq,Bubwe River,Routine patrol by rangers,Illegal entry,MFCA-BWR
217,MFCA-MFNP-50-2014-10-10-,Ginyanya Sam,03/10-2014,MFCA-BWR,Bugungu Reserve Hq,Bubwe River,Routine patrol by rangers,Illegal entry,MFCA-BWR
224,,Kiiza James,29/08-2012,,,Along ishsha road,,Possession of wildlife specimen,
225,,Kiiza James,29/08-2012,,,Along Ishasha road,,Possession of wildlife specimen,
226,,Kiiza James,29/08-2012,,,Along Ishasha Road,,Possession of wildlife specimen,
227,,Kiiza James,29/08-2012,,,Along Ishasha road,,Possession of wildlife specimen,
228,,Kiiza James,29/08-2012,,,Along Ishasha Road,,Possession of wildlife specimen,
229,,Kiiza James,29/08-2012,,,Along katunguru road,,Possession of wildlife specimen,
230,,Achila Paul,03/09-2012,,,Lake Kikorogno,,Illegal entry,
231,,Labeja Mathew,05/09-2012,,,Rwemuhunda,,Illegal possession of devices,
232,,Labeja Mathew,05/09-2012,,,Rwemuhunda,,Possession of illegal devices,
233,,Linalyogha Andrew,06/09-2012,,,Kanyangeya,,Illegal entry,
234,,Achura Robert,12/09-2012,,,Kaborogota,,Illegal entry,
235,,Achura Robert,12/07-2012,,,Kaborogota,,Illegal entry,
236,,Twine Everest,17/09-2012,,,Nyamusingiri,,Illegal entry,
237,,Okello James,19/09-2012,,,Kiganda,,Possession of wildlife specimen,
238,,Okello James,19/09-2012,,,Kiganda,,Possession of wildlife specimen,
239,,Okello James,19/09-2012,,,Kiganda,,Possession wildlife specimen,
240,,,22/09-2012,,,Maramagambo,,Illegal devices,
241,,Okello James,27/09-2012,,,Kyakitale,,Neligently permiting domestic animals into awildlife protected a,
242,,tim Richard,30/09-2012,,,Kidodo,,Illegal entry,
243,,Otim Richard,03/10-2012,,,Kidodo,,illegal entry,
244,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
245,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
